text,Mystery,Drama,Thriller,Comedy,Action
"Arthur Kirkland  is a hotheaded but idealistic young defense attorney in Baltimore. As the film opens, he is in jail on a charge of contempt of court for having thrown a punch at judge Henry T. Fleming  while arguing the case of an innocent defendant, Jeff McCullaugh . McCullaugh was stopped for a minor traffic offense, but then mistaken for a killer of the same name and convicted. He has already endured year and a half in jail, as Kirkland continues his efforts to have the case reviewed against Fleming's resistance. Though there is strong new evidence that the convicted man was innocent, Judge Fleming refused Kirkland's appeal due to a minor technicality and leaves McCullaugh in prison. Kirkland takes another case, that of meek, gentle transgender Ralph Agee , who is guilty of a small crime and becomes a victim of the legal system. Kirkland also pays regular nursing home visits to his beloved Grandfather Sam , who is becoming senile. It is revealed that Arthur was abandoned by his parents at a young age and it was Sam who raised him and put him through law school. Arthur also begins a romance with a legal ethics committee member, Gail Packer . One day, Kirkland is shocked to find himself requested to defend Judge Fleming, who to everyone's surprise has been accused of rape. The two loathe each other, but Fleming feels everyone will believe he is innocent if the person publicly known to hate him also argues his innocence. Fleming uses blackmail, telling Kirkland an old violation of lawyer-client confidentiality will be reviewed by the ethics committee and Arthur likely will be disbarred if he refuses to represent Fleming. Gail confirms this off the record. An eccentric judge named Rayford , who has a friendly relationship with Kirkland, takes him for a hair-raising ride in his personal Bell 47 helicopter over the harbor and Fort McHenry, laughing as he tests how far they can possibly go without running out of fuel, while Arthur, his terrified passenger, begs him to land the helicopter immediately. Rayford, a veteran of the Korean War, is possibly suicidal, and keeps a rifle in his chambers at the courthouse, a 1911 pistol in his shoulder holster at all times and eats his lunch out on the ledge outside his window, four stories up. Kirkland's friend and partner, Jay Porter , is also unstable. He feels guilt from gaining acquittals for defendants who were truly guilty of violent crimes and goes berserk when one commits another murder. After a breakdown at the courthouse, Jay is taken to a hospital accompanied by Kirkland. Before leaving in the ambulance, a distracted Arthur calls on another lawyer friend, Warren Fresnell , to handle Ralph's court hearing in his absence. Arthur gives Warren a corrected version of Ralph's probation report, and stresses the fact that Warren must show the corrections to the judge so that Ralph will get probation rather than being sent to jail. Unfortunately, Warren forgets to appear on time, fails to show the judge the corrected report, and Ralph is sentenced to jail where he commits suicide through hanging off-screen. Kirkland is livid, and attacks Warren's car with his briefcase in retaliation and to get his attention. Warren argues that Ralph's trial was nothing but ""nickels and dimes"" and beneath him, before Kirkland sternly reminds him ""they're people"" and then informing of Ralph's suicide . His other client, McCullaugh, abused by fellow prisoners , snaps one day and takes two hostages. Arthur pleads with him to surrender, promising to get him out, but the police shoot and kill McCullaugh after he stands up, providing a shot for a police sharpshooter, as Arthur looks on in horror. A clearly disturbed Kirkland takes on Judge Fleming's case, which Judge Rayford and a jury will hear in court. Arthur acquires evidence from another client, Carl, incriminating photographs that show Fleming in BDSM acts with a prostitute. Gail warns him not to betray a client. He shows the pictures to Fleming, who then freely admits that he is guilty of the rape. Disgusted with his situation, Kirkland goes to trial. Fleming makes a sleazy remark to Kirkland about wanting to rape the victim again, which finally pushes Kirkland to the breaking point. In his opening statement, Arthur begins by mocking the case of the prosecuting attorney  while speaking of the ultimate objective of the American legal system. He appears to be making a strong case to exonerate Fleming. But unexpectedly, he bursts out and says that prosecution is not going to get Fleming, because he is going to get him. Kirkland tells the jury, ""My client, The Honorable Henry T. Fleming, should go right to fucking jail! The son of a bitch is guilty!"" The courtroom erupts and the presiding judge Rayford, the prosecution, and the others in the court room are enraged and flabbergasted at the turn of events, including Gail. The judge calls Kirkland ""out of order,"" bangs his gavel to bring the court to order. Arthur replies, ""You're out of order! You're out of order! The whole trial's out of order!"" Arthur is dragged away, continuing to shout his rage all the way out the door and to criticize Fleming for his and the legal system's abuse of law and order that cost the lives of his two clients and let true criminals like Fleming go free to commit more crimes. As the courtroom spectators cheer for Arthur, Fleming sits down in defeat, and a fed-up Rayford walks out of his stand. In the end, Kirkland sits on the court's steps, all by himself, weary from his breakdown but satisfied, knowing his antics probably cost him his practice and career in law, but will presumably finally put Fleming in jail. His partner Jay, just released from the mental hospital, climbs up the long steps, tipping his toupee like a hat and greets him with a friendly ""Hi, Arthur"" and walks away and inside the court building.",1,1,1,1,0
"14-year-old Danny O'Neil  is madly in love with his teacher, Miss Peggy Noble . Given the fact that she is engaged to the cold-tempered and vicious gym teacher, Roy Kilton , who is nicknamed Jackjaw for his constant threat of breaking his pupils' jaws, Danny goes through his school days somewhat uninspired and suffers in silence. One day, he oversees his geeky friend Lloyd Duffy , who happens to live next door with his uncle Herb  and aunt May , growing fruits with an experimental growth accelerator. Danny becomes enthusiastic of turning himself into a grown man with the same machine, in order to break up Miss Noble's engagement, as well as convincing her to give him a chance. Lloyd is reluctant to help him out, aware of everything that could go wrong, so Danny secretly uses the machine at night. He saw that the timing was perfect, considering that his parents will leave the house for a week. Unaware of the consequences, he turns into a 30-year-old man . The next day, Lloyd immediately starts working on a machine with the opposite effect so Danny will be able to return to his 14-year-old body soon. During this process, Danny visits the high school to pursue Miss Noble. When he arrives, he is mistaken as the school newest principal, Harold Forndexter. He not only impresses his assistant Louisa Horton  with the introduction of his new rules - which include having as much fun as possible - but also Peggy, who admires his youthful approach of life. Much to the dismay of Kilton, she agrees to go on a date with 'Harold'. Even though Kilton follows their every step, Peggy has a splendid evening with the new principal, and they almost kiss at the end of the night. During a school dance, 'Harold' convinces Peggy that Kilton is not right for her, and she breaks off the engagement. Immediately after, 'Harold' and Peggy become a couple. Kilton, refusing to accept this, tries to find out more on Forndexter, and finds out that 'Harold' is an impostor, as the real Forndexter  looks quite differently. He immediately warns the police, who arrive quickly to arrest him. While 'Harold' tries to escape, Lloyd informs him that his machine is complete. After getting rid of the cops, 'Harold' tells Peggy that he has to leave town for good and then becomes 14 again. Peggy witnesses this transformation, and realizes that 'Harold' was actually Danny, one of her favorite students. Because she has fallen in love with him, she uses the same machine to turn herself into a 14-year-old , which enables her to be with Danny. Meanwhile, Lloyd turns himself into an old professor, Mr. Lloyd , and starts working at the same high school as a teacher.",0,0,0,1,0
"The Polish artist Julia and her husband Piotr, a talented and successful composer, live in Kraków. When Julias's mother, Barbara falls ill with stomach cancer, the life of the family is falling apart. Julia accompanies her mother to death, but her husband Piotr is at rehearsals in Cologne and leaves her to cope with this difficult situation. Only her friend Adrian is at her side. Her father Jurek is also overwhelmed by the impending loss of his beloved wife. After the death of the mother her father takes comfort from alcohol. Shortly after the father dies. Julia found only in the arms of Adrian to rest, but this in turn destroyed her marriage to Piotr. After the loss of the parents and break up of the marriage she is now alone in the world with an uncertain future where Adrian is of little help.",0,1,0,0,0
"The film tells the story of David Vass , an obsessed filmmaker who attempts to make an epic account of the French adventurer Orelie-Antoine de Tounens, who in 19th century assumed the title of King of Patagonia and Araucania. Vass meets major obstacles at every turn during the film. First, word leaks out to the Argentine media that Vass is finally making his film and he has to dodge them as he executes his preproduction plans. The big problem is finding the perfect actor to portray the king. When all of the professional auditions are rejected, Vass turns to the street. Unfortunately, he chooses a hippie type, who mistakes Vass for the cops and flees. Still, Vass catches up and convinces him to play the part. Finally, Vass assembles cast and crew and prepares to go southern Argentina to shoot the film. However, his financial backer withdraws with the film's money and flees abroad. Now Vass has no money to pay his staff. The actors immediately abandon the project and once again Vass hits the streets to find his actors. Finally, the group makes it to the location for shooting. By this time they are so broke that they cannot afford lodging and end up staying at an orphanage until an actor makes the wrong advances towards a youngster and gets them kicked out. The crew, not wanting to sleep in tents, decide to leave. The cast joins them. Despite this final crushing blow, Vass will not abandon the film and portrays the king himself, using mannequins for extras to create some of the films most haunting and surreal scenes.",0,1,0,1,0
"Sean Raine, an ex-army officer with issues of his own, defends an impoverished young cowherd of killing a baby that he believes is an evil being known as a Tikoloshe.",1,1,1,0,0
"Eva, an upper class housewife, becomes frustrated and leaves her arrogant husband. She is drawn to the idea of becoming a call girl. With the aid of a prostitute named Yvonne, Eva learns the basics and then they both set out looking for Johns together. She meets a charming man who she falls in love with and comes to his house late at night for a romantic tryst. He turns out to be a gigolo. Consequently, they move into his penthouse, large enough for both of them to offer their services separately. Then slowly Eva enters the world of sado-masochism. She finds being a dominatrix extremely satisfying, and begins to take pleasure in controlling others and causing them intense pain. She discovers this in a scene in which a man is hiding under a table. Eva can see that his hands are sticking out from under the table and are clearly visible. Coldly, and with intense inner satisfaction, Eva proceeds to crush the man's hands by slowly walking over them with her stiletto-heeled boots. Chris, the gigolo begins getting jealous of her, wants to know what's going on upstairs and why she's making so much money. She tells him it's from hurting men, and the more she hurts them, the more money she gets. This upsets him greatly. She also becomes jealous of his boyfriend/client, a man who's been coming to him for many years. The scenes in the upstairs room intensify. One day he sneaks up and observers her in a scene dominating a man tied to a chair. He has a look on his face like ""see, this is what you truly are,"" and the look on her face says proudly ""yes, this is what I truly am."" He tries to whisk her away from all of it, buying her furs, talking about marriage. She tells him that she's been dreaming about hitting him, and in the dream he likes it. The setting is all there for a romantic ending, and yet, he panics, he takes all their money and invests it in a restaurant that she doesn't want to be part of. She tries to walk out on him, and he gets angry, throws her against the wall, hits her, pours alcohol on her, and lights her on fire. But the last scene shows her unscathed, happy with her friend the sex worker/madame, and they're getting thrown out of a bar that Chris owns. The movie thus extols female independence from men, though in its ending stops short of endorsing a female-dominant/male-submissive romance.",0,1,0,0,0
"Twin zoologists Oswald and Oliver Deuce  are at work studying the behavior of animals at a zoo, when their wives are killed in a car accident involving a large swan. The woman who was driving the car, Alba Bewick , is not killed, but she sustains enough damage to warrant the amputation of a leg. Venus de Milo , a woman associated with the zoo, attempts to forge a relationship with the twins, ostensibly to help them recover from their loss. Meanwhile, Oswald and Oliver gradually become obsessed with images of growth and decay, watching videos on the origins of life and creating time-lapse video of decomposing life forms. They begin this latter task with a green apple, bitten into and rotting before their camera lens. The twins' descent sees them become romantically involved with Alba, and increasingly attached to one another. Venus de Milo remains involved with them enough to observe their obsessions grow: they take to video-taping the decomposition of prawns, and they take a personal interest in Alba's childhood, going so far as to ask her to show them a field seen in a photograph on her bedside table. They become obsessed with snails, and they take advantage of their contacts at the zoo to create decomposition videos of more and more complex animals, moving gradually up the food chain.  Alba becomes a subject for the experiments of her surgeon, who eventually amputates her other leg, claiming it is putting stress on her spine. His true motive is to fashion Alba into a subject of his recreations of Johannes Vermeer paintings; Venus de Milo participates in this process, as well. Ultimately, the Deuce brothers' obsession with decay leads them to the top of the food chain, and to a complex life-and-death negotiation with Alba herself. The brothers' project seems the only possible emotional investment for either of them, so Alba offers herself as the final specimen to be photographed in its decay. However, her family intervenes before the brothers can claim her, so they are forced to find another way to create their final time-lapse video. They do so by returning to the field of Alba's childhood and setting up the necessary equipment to facilitate and capture their own decomposition.",0,1,0,0,0
"Serap, a young actress with a strong, lively personality and a special dislike for middle-class family life, takes part in a TV-commercial for a recently marketed shampoo, ""Belinda"". She plays the role of a typical housewife called Naciye. During one of the rehearsals, she suddenly finds that the stage has disappeared, the crew has vanished and all the elements of the script have become real. Now she is Naciye. No one around recognizes her as Serap anymore. Even worse, her family thinks that she is suffering from depression, while Serap desperately tries to prove otherwise.",0,0,0,1,0
"Ganesh  is from a middle-class family. He makes several bids to obtain employment but all goes in vain due to his poor language skills and inadequate educational qualifications. All his friends settle in life, but he continues to struggle in finding employment. Ganesh has two faithful friends in Vasu ([[Srikanth , and Seenu ([[Sunil . His father , who is a teacher, is always critical of him for being an irresponsible person. This just added to his list of woes. At this juncture, Ganesh catches a glimpse of a woman named Keerthi , and immediately falls in love with her. He learns that she works for a software solutions firm. Luckily for him, Ganesh finally secures employment in the same firm. Keerthi eventually turns out to be a short-tempered young woman. On a business trip, Ganesh accompanies her along with two other colleagues ([[Jeeva , to Australia. Here he reveals his feelings of love to her. She immediately turns him down, saying that she comes from an orthodox family, and her marriage has already been arranged with her cousin. A depressed Ganesh returns to India thereafter. Unable to see his son in depression, his father decides to meet Keerthi. She abuses him for recommending his son's love, and accidentally slaps both Ganesh and his father. Later that night, Ganesh's father dies of a heart attack. In order to help change Ganesh's mood, Vasu manages to persuade him to come along to his family house in the country. Coincidentally, on the train journey, Keerthi is revealed to be the fiancee of Vasu. However, their grandfather's  thoughts of getting them married earlier are put aside because Vasu and Keerthi leave the house to have their own identity. This causes heartburn to their grandfather. With the passing of a few days, the parents of Keerthi and Vasu decide to get them married to appease their grandfather. After several turns of events, Keerthi realizes that she is in love with Ganesh instead. When Ganesh asks her to forget him, during a midnight meeting, because he believes that it would create problems in their happy family, Vasu himself overhears their conversation. During the wedding, Vasu tries to force Ganesh and Keerthi to confess their relationship to everyone who is present. But when they hesitate to do so, Vasu stops the marriage himself, by lying to his elders that he has a secret wife in Hyderabad. When Vasu comes under fire from his relatives, Ganesh tells them the truth, and is driven out of the house. He is joined only by the grandmother of the house, who agrees to accompany him as she reminds Ganesh of his late father. In time, the rest of Ganesh and Keerthi's family comes to stay with Ganesh for a few days. But Vasu's grandfather refuses to enter the house, telling Ganesh he is still angry with him, and needs time to change himself somehow. The movie ends when Ganesh and Keerthi became a happy couple and live together happily.",0,1,0,1,0
"Aduri Aman , finds herself the target of federal agents, though she is herself employed by the FBI as an analyst. Unsuspecting that she may have knowledge of government secrets, she receives help and refuge from a stranger, Saif . He seems overly eager to help. As the couple races through Washington D.C. suburbs, Aduri's own past catches up to her. Various contemporary events are used as plot devices in Aduri. These include: *United States War on Terror *The 2004 Asian Tsunami *The crude oil price hike from 2005 to 2008 *The 2008 United States Presidential Elections",0,1,1,0,1
